X Coordinate,Y Coordinate,Measured Depth (m),Deviation (True/False),Surface-Casing Weight (kg/m),Production-Casing Size (mm),Production-Casing Weight (kg/m),Bore. Temp. (degC),Prod. Formation,Porosity (fraction),Permeability (darcy),OIL Prod. (e3m3/month)
89.6,1073.0,2046.4,True.,,,,77.0,Shale-Sand,0.265,26.17,132.91
447.8,545.0,966.2,False.,,177.8,,,Shale-Sand,0.122,1.55,16.22
613.9,620.0,560.0,True.,,177.8,34.2,22.0,Shale-Sand,0.154,2.36,25.97
529.4,104.0,939.0,False.,35.7,139.7,20.8,34.0,Shale-Sand,0.115,1.72,13.37
518.1,400.0,985.0,False.,,139.7,,31.0,Shale-Sand,0.116,1.28,9.46
606.7,571.0,586.0,True.,48.1,177.8,34.2,25.0,Shale-Sand,0.19,3.76,24.33
97.3,1083.0,2829.0,True.,81.1,244.5,69.6,84.0,Shale-Sand,0.168,6.37,36.16
353.6,704.0,1646.0,True.,81.1,,,49.0,Sand,0.313,14.16,669.87
175.1,680.0,2646.9,False.,,139.7,,,Shale-Sand,0.108,3.87,3.87
190.2,609.0,2146.7,False.,,114.3,,63.0,Shale-Sand,0.09,0.81,7.71
506.4,169.0,1111.0,False.,,114.3,,33.0,Shale-Sand,0.155,4.17,28.21
592.6,531.0,750.0,False.,,177.8,,,Shale-Sand,0.143,2.45,15.7
341.8,534.0,1475.0,True.,35.7,139.7,20.8,43.0,Shale-Sand,0.097,1.96,13.42
602.7,507.0,749.0,True.,53.6,177.8,34.2,32.0,Shale,0.065,1.48,0.84
606.6,448.0,661.4,False.,,177.8,,27.0,Shale-Sand,0.136,0.93,30.14
610.1,583.0,553.0,True.,48.1,177.8,34.2,27.0,Shale-Sand,0.236,4.33,105.31
75.2,1063.0,2383.5,False.,,,,82.0,Shale-Sand,0.129,1.74,25.75
585.9,490.0,2087.0,True.,62.5,,,,Shale-Sand,0.154,1.46,25.14
430.3,271.0,1615.4,False.,,114.3,,44.0,Shale-Sand,0.187,9.99,71.35
184.4,675.0,2611.5,False.,,139.7,,,Shale-Sand,0.088,2.96,56.78
300.2,459.0,1697.1,True.,,139.7,,44.0,Sand,0.256,10.05,287.81
607.7,525.0,558.0,False.,,177.8,,24.0,Shale-Sand,0.243,5.86,64.59
604.3,584.0,477.0,True.,48.1,177.8,34.2,27.0,Shale-Sand,0.142,5.97,48.09
518.2,41.0,956.0,False.,35.7,139.7,20.8,25.0,Shale-Sand,0.172,4.1,57.21
138.0,1146.0,1570.9,True.,,177.8,,64.0,Shale-Sand,0.093,1.0,15.34
72.7,752.0,1726.0,True.,53.6,,,,Shale,0.0,0.15,0.84
287.1,466.0,1725.2,False.,,114.3,,,Shale-Sand,0.04,0.68,2.13
379.1,412.0,1015.0,False.,35.7,139.7,20.8,38.0,Shale-Sand,0.148,3.2,52.56
628.5,521.0,570.0,True.,53.6,177.8,34.2,22.0,Shale-Sand,0.211,5.95,155.34
405.1,473.0,1628.5,True.,,139.7,,49.0,Sand,0.328,11.22,489.68
598.7,632.0,572.0,True.,,177.8,34.2,,Shale-Sand,0.185,1.07,10.99
555.2,442.0,789.0,True.,35.7,139.7,20.8,28.0,Shale-Sand,0.108,2.2,3.21
444.8,433.0,1464.3,True.,,177.8,,42.0,Sand,0.336,45.92,503.75
640.2,392.0,807.0,True.,,139.7,,29.0,Sand,0.348,17.27,371.81
100.0,1076.0,1885.0,True.,53.6,,,68.0,Sand,0.29,17.26,481.41
588.9,595.0,433.0,True.,48.1,177.8,29.8,,Sand,0.307,21.68,326.83
64.9,954.0,2510.0,False.,53.6,,,91.0,Shale-Sand,0.245,3.28,43.55
638.4,479.0,704.0,True.,,177.8,25.3,26.0,Shale-Sand,0.221,7.89,53.01
605.2,530.0,673.0,True.,53.6,177.8,34.2,15.0,Shale-Sand,0.095,0.82,17.13
193.7,612.0,2148.8,False.,,114.3,,58.0,Shale-Sand,0.175,7.51,104.75
485.6,94.0,1074.0,False.,35.7,139.7,20.8,31.0,Shale-Sand,0.186,14.24,73.78
591.3,606.0,580.0,True.,53.6,177.8,34.2,25.0,Shale,0.0,0.35,0.23
508.7,168.0,1120.0,True.,,139.7,,32.0,Sand,0.253,9.36,350.48
524.2,381.0,877.0,True.,25.3,114.3,14.1,,Shale-Sand,0.23,27.92,190.98
526.5,104.0,950.0,False.,35.7,139.7,20.8,32.0,Shale-Sand,0.129,1.69,25.56
603.2,544.0,622.0,True.,48.1,177.8,29.8,27.0,Shale,0.0,0.24,0.25
78.2,972.0,2608.0,True.,53.6,,,,Shale-Sand,0.107,2.48,34.15
80.2,837.0,1112.0,False.,35.7,139.7,20.8,38.0,Shale-Sand,0.144,2.51,46.74
99.0,1084.0,2035.0,False.,35.7,139.7,23.1,65.0,Shale-Sand,0.113,2.12,12.07
296.8,477.0,1262.5,False.,,114.3,,35.0,Shale-Sand,0.015,1.16,7.57
453.4,231.0,1502.1,False.,,114.3,,46.0,Shale-Sand,0.123,1.6,22.11
285.3,458.0,1850.0,False.,35.7,114.3,17.3,,Shale-Sand,0.043,3.82,28.38
332.2,397.0,1819.0,False.,35.7,139.7,25.3,53.0,Shale,0.069,0.39,0.38
610.6,525.0,611.0,True.,53.6,177.8,34.2,30.0,Shale-Sand,0.117,0.6,7.83
555.9,381.0,874.5,False.,,114.3,,22.0,Shale-Sand,0.247,10.25,87.66
540.4,238.0,1060.0,False.,,114.3,,33.0,Shale-Sand,0.179,2.17,78.54
328.2,462.0,1444.8,False.,,114.3,,39.0,Shale-Sand,0.021,1.04,6.33
612.5,457.0,682.0,True.,35.7,139.7,20.8,30.0,Shale-Sand,0.054,1.99,15.19
595.5,524.0,610.0,True.,,177.8,,24.0,Shale-Sand,0.189,9.71,136.69
640.4,487.0,602.0,True.,48.1,177.8,34.2,25.0,Shale-Sand,0.177,2.2,166.24
389.7,494.0,1845.0,True.,35.7,139.7,25.3,45.0,Shale-Sand,0.091,1.9,6.32
110.4,1104.0,1590.0,False.,53.6,,,52.0,Shale-Sand,0.137,0.69,16.2
594.5,601.0,467.0,False.,48.1,177.8,25.3,23.0,Shale,0.0,0.35,0.51
446.7,536.0,996.7,False.,,177.8,,35.0,Shale-Sand,0.192,5.14,48.11
596.3,526.0,618.0,False.,,177.8,,26.0,Shale-Sand,0.187,12.8,42.91
605.4,448.0,658.4,False.,,177.8,,26.0,Shale-Sand,0.157,2.77,63.62
540.1,149.0,1025.0,True.,35.7,139.7,20.8,26.0,Shale-Sand,0.073,1.58,51.66
465.3,796.0,2239.0,True.,53.6,,,21.0,Shale-Sand,0.065,0.39,4.15
347.4,701.0,1692.6,True.,,139.7,,46.0,Shale-Sand,0.249,8.89,176.16
611.8,523.0,535.0,True.,48.1,177.8,29.8,26.0,Shale-Sand,0.267,8.11,251.03
408.1,290.0,1831.0,False.,35.7,139.7,23.1,55.0,Shale-Sand,0.112,1.72,19.83
135.8,1136.0,1515.0,False.,,,,56.0,Shale,0.0,0.15,0.21
598.7,541.0,613.0,True.,48.1,177.8,34.2,26.0,Shale-Sand,0.106,1.11,2.14
642.8,382.0,1330.0,True.,48.1,,,,Shale-Sand,0.042,2.84,6.53
610.4,530.0,664.0,True.,35.7,139.7,20.8,,Shale-Sand,0.123,1.4,25.12
400.0,503.0,1555.4,True.,,177.8,,49.0,Shale-Sand,0.237,3.26,109.25
538.6,100.0,980.0,False.,35.7,139.7,20.8,31.0,Shale-Sand,0.184,2.79,25.23
105.9,1091.0,2098.0,True.,,,,,Shale-Sand,0.197,15.31,149.81
632.1,508.0,520.0,True.,48.1,177.8,25.3,20.0,Shale-Sand,0.252,15.38,165.84
509.4,374.0,1134.0,False.,35.7,114.3,14.1,23.0,Shale-Sand,0.155,2.23,28.69
529.5,393.0,989.4,False.,,114.3,,33.0,Shale-Sand,0.159,9.27,98.82
643.4,351.0,815.0,True.,,139.7,,27.0,Sand,0.26,73.47,898.61
310.2,369.0,2250.0,False.,53.6,114.3,17.3,48.0,Shale-Sand,0.23,5.91,27.75
71.4,720.0,2428.0,True.,,139.7,,,Shale-Sand,0.14,1.75,16.94
608.0,524.0,583.0,True.,48.1,177.8,34.2,21.0,Shale-Sand,0.188,7.6,122.05
530.0,151.0,1145.0,True.,35.7,139.7,20.8,,Shale-Sand,0.157,0.51,16.41
485.9,336.0,1189.0,True.,35.7,114.3,14.1,31.0,Shale-Sand,0.287,3.89,199.42
268.4,493.0,3328.0,True.,53.6,139.7,25.3,,Shale-Sand,0.069,1.76,8.45
383.1,408.0,990.0,False.,35.7,139.7,20.8,33.0,Shale-Sand,0.147,1.97,26.13
596.2,525.0,630.0,False.,,177.8,,28.0,Shale-Sand,0.196,3.28,59.99
532.8,163.0,1013.5,True.,,114.3,,30.0,Shale-Sand,0.178,1.88,188.84
618.8,590.0,492.0,True.,48.1,177.8,29.8,25.0,Shale-Sand,0.137,0.47,26.02
335.3,377.0,1837.0,True.,35.7,139.7,23.1,41.0,Shale-Sand,0.27,6.34,151.99
396.6,478.0,1643.2,False.,,177.8,,,Shale,0.039,0.76,0.4
607.8,115.0,1131.0,True.,35.7,139.7,20.8,33.0,Shale-Sand,0.105,1.85,46.27
303.4,656.0,2329.3,False.,,139.7,,67.0,Shale-Sand,0.154,3.79,42.67
607.9,116.0,865.0,False.,35.7,139.7,20.8,26.0,Shale-Sand,0.059,1.83,13.91
610.5,529.0,441.0,True.,35.7,139.7,20.8,26.0,Shale-Sand,0.29,16.82,159.18
608.3,448.0,606.6,False.,,177.8,,21.0,Shale-Sand,0.016,0.59,3.81
348.2,470.0,1560.0,False.,35.7,139.7,23.1,51.0,Shale-Sand,0.216,3.99,87.07
354.9,872.0,1471.0,True.,48.1,177.8,34.2,,Shale-Sand,0.225,19.57,142.31
147.8,1163.0,1900.0,True.,,177.8,,,Sand,0.374,49.71,370.66
607.4,527.0,634.0,True.,48.1,,,27.0,Shale-Sand,0.111,0.92,16.83
598.7,423.0,680.0,False.,35.7,139.7,20.8,24.0,Shale-Sand,0.113,2.25,40.21
495.8,56.0,1022.0,False.,,114.3,,29.0,Shale-Sand,0.134,4.37,39.29
453.3,533.0,711.0,False.,25.3,114.3,14.1,30.0,Shale,0.008,0.13,0.22
92.4,762.0,1515.0,False.,35.7,139.7,20.8,43.0,Shale-Sand,0.1,1.94,5.97
78.0,775.0,1636.0,False.,35.7,139.7,25.3,25.0,Shale-Sand,0.194,5.92,103.16
612.5,590.0,416.0,False.,48.1,177.0,29.7,26.0,Shale-Sand,0.197,5.76,69.44
548.7,456.0,868.7,False.,,114.3,,31.0,Shale-Sand,0.283,3.53,97.35
93.9,1076.0,1910.0,False.,35.7,139.7,23.1,73.0,Shale-Sand,0.228,5.76,64.67
62.6,726.0,2219.0,True.,41.7,139.7,23.1,63.0,Shale-Sand,0.169,1.12,23.54
332.1,398.0,2323.0,False.,,114.3,,65.0,Shale-Sand,0.115,5.53,58.91
348.8,687.0,1909.0,False.,,114.3,,56.0,Shale-Sand,0.083,1.59,6.41
611.0,490.0,601.0,False.,,177.8,,24.0,Shale-Sand,0.07,0.72,1.45
493.2,99.0,1085.0,False.,48.1,177.8,29.8,35.0,Shale-Sand,0.187,11.68,93.46
504.7,287.0,1270.0,False.,35.7,114.3,14.1,38.0,Shale-Sand,0.094,1.96,15.77
597.7,524.0,686.0,True.,48.1,177.8,29.8,17.0,Shale-Sand,0.289,6.6,162.63
535.2,393.0,931.5,True.,,139.7,,33.0,Shale-Sand,0.252,9.71,135.09
593.7,601.0,679.0,True.,48.1,177.8,25.3,30.0,Shale-Sand,0.188,3.18,55.19
459.7,254.0,1445.0,True.,,114.3,,42.0,Shale-Sand,0.291,8.46,180.24
512.0,115.0,1360.0,True.,35.7,139.7,20.8,36.0,Shale-Sand,0.295,15.59,144.88
343.3,331.0,1988.2,False.,,73.0,,,Shale-Sand,0.172,3.82,85.63
600.9,523.0,690.0,True.,53.6,177.8,34.2,,Shale-Sand,0.222,2.47,22.08
312.6,788.0,1745.9,False.,,114.3,,51.0,Shale-Sand,0.183,6.25,96.17
584.2,601.0,561.0,True.,48.1,177.8,29.8,24.0,Shale-Sand,0.059,0.15,3.17
573.6,607.0,667.0,True.,48.1,177.8,29.8,25.0,Shale-Sand,0.057,1.99,21.56
645.2,383.0,839.7,False.,,139.7,,28.0,Shale-Sand,0.152,0.73,2.43
394.8,483.0,1621.5,False.,,177.8,,,Shale-Sand,0.095,1.31,5.46
149.8,1142.0,1481.3,True.,,177.8,,55.0,Shale-Sand,0.26,17.08,160.79
565.7,457.0,713.0,True.,35.7,139.7,20.8,,Shale-Sand,0.307,27.43,194.87
130.1,1089.0,1784.0,False.,,177.8,,79.0,Shale-Sand,0.065,1.07,0.94
140.6,1140.0,1515.2,True.,,177.8,,54.0,Shale-Sand,0.288,6.68,157.11
503.4,225.0,931.5,False.,,139.7,,28.0,Shale-Sand,0.143,2.01,30.79
110.0,1091.0,1822.7,True.,,114.3,,63.0,Shale-Sand,0.092,0.77,28.79
431.8,548.0,1726.0,True.,25.3,114.3,17.3,,Shale-Sand,0.159,4.73,89.11
554.7,443.0,742.0,True.,25.3,114.3,14.1,28.0,Sand,0.225,9.84,333.51
600.9,539.0,664.0,True.,48.1,177.8,34.2,27.0,Shale-Sand,0.223,1.92,36.01
531.9,224.0,1018.6,False.,,139.7,,32.0,Shale-Sand,0.108,0.87,7.57
595.6,737.0,1589.0,True.,81.1,,,,Shale-Sand,0.05,1.91,5.04
304.7,478.0,2720.0,True.,53.5,114.3,17.2,,Shale-Sand,0.138,1.41,15.58
525.5,382.0,1074.0,False.,35.7,139.7,20.8,31.0,Shale-Sand,0.311,3.44,50.24
607.4,450.0,586.7,False.,,177.8,,28.0,Shale-Sand,0.177,5.79,71.11
211.9,421.0,4185.0,True.,59.5,,,93.0,Shale-Sand,0.101,1.99,5.54
610.5,529.0,664.0,True.,35.7,139.7,20.8,25.0,Shale-Sand,0.145,1.58,12.82
72.7,718.0,2130.0,False.,53.6,139.7,23.1,65.0,Shale-Sand,0.059,1.64,7.98
309.9,417.0,2244.9,False.,,139.7,,59.0,Shale,0.021,1.21,0.62
454.4,534.0,1422.0,True.,48.1,,,,Shale-Sand,0.217,2.62,31.97
225.3,497.0,2180.0,False.,,,,64.0,Shale-Sand,0.037,0.95,3.52
402.9,503.0,1500.0,True.,,139.7,,46.0,Shale-Sand,0.072,0.46,6.04
459.2,353.0,1652.0,True.,,193.7,,53.0,Sand,0.27,11.72,288.5
588.6,607.0,504.0,True.,53.6,177.8,47.6,23.0,Shale-Sand,0.249,18.96,139.09
144.3,1157.0,1743.5,False.,,177.8,,72.0,Shale-Sand,0.117,1.17,17.35
34.9,785.0,5290.0,True.,53.6,,,,Shale-Sand,0.208,4.23,59.52
337.9,312.0,2707.2,False.,,139.7,,64.0,Shale-Sand,0.195,15.91,90.78
568.8,454.0,698.0,True.,35.7,139.7,20.8,25.0,Shale-Sand,0.153,2.24,6.4
610.0,586.0,411.5,False.,,177.8,,,Shale-Sand,0.096,2.52,35.99
353.4,699.0,1667.9,True.,,139.7,,52.0,Sand,0.347,23.21,459.05
168.0,700.0,2659.4,True.,,177.8,,73.0,Shale-Sand,0.244,7.52,142.6
435.8,555.0,1593.0,True.,,,,25.0,Shale-Sand,0.161,2.02,38.49
529.7,110.0,954.0,False.,35.7,139.7,20.8,28.0,Shale-Sand,0.108,4.48,70.92
604.9,555.0,576.0,True.,53.6,177.8,34.2,20.0,Shale-Sand,0.078,0.45,18.43
527.1,378.0,1049.0,True.,35.7,139.7,20.8,31.0,Shale,0.0,0.28,0.39
65.9,616.0,3653.0,True.,,139.7,,,Sand,0.343,20.48,678.13
303.4,339.0,3128.0,True.,53.6,139.7,25.3,,Shale-Sand,0.102,3.14,82.89
80.2,695.0,1150.0,False.,35.7,114.3,17.3,45.0,Shale-Sand,0.254,6.75,84.62
610.6,203.0,833.6,False.,,114.3,,34.0,Shale,0.0,0.35,0.23
90.0,1072.0,2098.5,True.,,177.8,,81.0,Shale-Sand,0.193,15.33,164.31
483.7,409.0,1877.0,True.,53.6,,,46.0,Shale-Sand,0.263,15.45,153.27
612.2,493.0,1889.0,True.,62.5,,,34.0,Shale-Sand,0.182,2.62,162.28
623.4,465.0,748.0,True.,48.1,177.8,29.8,25.0,Shale-Sand,0.089,3.46,19.92
41.0,787.0,1845.0,False.,35.7,139.7,23.1,57.0,Shale-Sand,0.144,4.01,100.78
477.8,359.0,1317.0,True.,35.7,139.7,20.8,48.0,Shale-Sand,0.079,1.92,10.52
355.6,372.0,2192.0,True.,,139.7,,56.0,Shale-Sand,0.217,7.68,225.48
303.1,452.0,1652.0,False.,,114.3,,44.0,Shale-Sand,0.138,1.28,8.91
615.3,491.0,700.0,True.,,177.8,,,Shale-Sand,0.12,4.39,21.27
449.7,540.0,968.7,False.,,177.8,,29.0,Shale-Sand,0.117,2.15,30.19
499.1,84.0,972.3,True.,,114.3,,31.0,Shale-Sand,0.217,11.35,170.01
534.7,102.0,917.0,False.,35.7,139.7,23.1,30.0,Shale-Sand,0.151,4.37,31.85
629.1,371.0,860.0,True.,35.7,139.7,20.8,26.0,Shale-Sand,0.254,4.47,197.58
586.8,472.0,724.0,True.,35.7,139.7,20.8,23.0,Shale-Sand,0.222,4.75,172.31
610.2,583.0,464.0,True.,,177.8,34.2,28.0,Shale-Sand,0.112,0.74,1.54
571.2,597.0,603.0,True.,53.6,177.8,34.2,18.0,Shale-Sand,0.143,1.95,14.02
420.6,80.0,2592.3,False.,,139.7,,52.0,Shale-Sand,0.193,5.13,60.19
124.8,1140.0,1579.2,True.,,177.8,15.6,54.0,Shale-Sand,0.076,1.25,2.92
540.1,137.0,1860.0,True.,,,,,Shale-Sand,0.255,10.16,73.6
290.7,631.0,2573.0,False.,,177.8,,99.0,Shale-Sand,0.181,3.74,15.95
121.6,777.0,1499.0,False.,41.6,114.3,14.1,44.0,Shale-Sand,0.164,4.18,6.74
196.2,755.0,4203.0,True.,53.6,,,,Shale-Sand,0.065,0.85,2.14
351.7,444.0,1760.0,False.,53.6,,,65.0,Shale-Sand,0.171,1.79,58.69
553.8,443.0,757.0,False.,35.7,139.7,20.8,28.0,Shale-Sand,0.159,0.97,17.43
637.8,526.0,736.0,True.,48.1,177.8,25.3,28.0,Shale-Sand,0.19,3.24,31.48
571.0,530.0,530.0,False.,53.6,177.8,25.3,30.0,Shale-Sand,0.058,0.53,5.06
251.8,800.0,2227.0,True.,81.1,,,45.0,Shale-Sand,0.203,5.72,92.5
552.2,101.0,957.0,True.,35.7,139.7,20.8,40.0,Sand,0.319,14.54,379.26
645.1,413.0,945.0,True.,35.7,139.7,20.8,31.0,Shale-Sand,0.128,6.97,88.16
539.3,260.0,1116.0,True.,,114.3,,38.0,Sand,0.327,29.46,628.9
543.2,154.0,1002.8,True.,,114.3,,29.0,Shale-Sand,0.129,15.78,145.27
300.7,398.0,2135.0,False.,35.7,139.7,23.1,54.0,Shale-Sand,0.122,1.65,3.04
138.2,1128.0,1454.0,True.,53.6,177.8,34.2,55.0,Shale-Sand,0.232,9.43,118.22
181.7,488.0,4785.4,False.,,177.8,,144.0,Shale-Sand,0.096,4.74,43.41
634.6,407.0,697.0,False.,35.7,139.7,20.8,25.0,Shale-Sand,0.112,0.59,1.72
598.4,513.0,665.0,True.,48.1,177.8,29.7,24.0,Shale-Sand,0.111,0.24,19.03
495.4,61.0,1110.0,True.,35.7,139.7,20.8,,Shale-Sand,0.169,2.13,41.73
503.1,129.0,1480.0,True.,35.7,139.7,20.8,35.0,Shale-Sand,0.079,1.85,4.85
264.0,819.0,1741.7,False.,,139.7,,44.0,Shale-Sand,0.137,0.87,31.97
287.5,834.0,1556.0,False.,53.6,139.7,20.8,34.0,Shale-Sand,0.072,3.33,18.17
588.2,529.0,849.0,True.,53.6,177.8,34.2,18.0,Shale-Sand,0.217,8.63,55.49
307.8,476.0,1526.4,False.,,139.7,,40.0,Shale-Sand,0.085,1.83,10.96
329.2,466.0,1388.4,False.,,114.3,,40.0,Shale-Sand,0.137,0.8,6.49
283.7,433.0,3469.0,True.,,,,,Shale-Sand,0.028,0.31,1.11
616.5,589.0,381.0,False.,48.1,177.8,34.2,25.0,Shale-Sand,0.106,1.28,5.69
436.1,303.0,1570.0,False.,35.7,139.7,20.8,46.0,Shale-Sand,0.235,2.12,56.07
536.6,243.0,1107.0,True.,35.7,139.7,20.8,34.0,Shale-Sand,0.197,3.18,34.15
527.1,378.0,1049.0,True.,35.7,139.7,20.8,31.0,Shale-Sand,0.214,6.58,133.58
579.4,607.0,629.0,True.,48.0,177.8,25.3,,Shale-Sand,0.13,2.36,11.74
278.9,462.0,3403.0,True.,35.7,139.7,25.3,55.0,Shale-Sand,0.097,0.89,22.82
122.7,1165.0,1750.0,True.,53.6,177.8,34.2,,Shale-Sand,0.114,1.62,51.4
603.2,463.0,744.0,True.,53.5,177.8,34.2,25.0,Shale-Sand,0.142,18.12,101.99
598.1,631.0,571.0,True.,,177.8,34.2,,Shale-Sand,0.211,5.13,75.11
636.7,459.0,861.0,True.,53.6,177.8,34.2,20.0,Shale-Sand,0.114,3.6,55.01
239.8,592.0,2840.0,True.,53.6,,,89.0,Shale-Sand,0.199,2.33,34.08
309.3,449.0,1585.3,False.,,114.3,,43.0,Shale-Sand,0.093,2.35,18.98
116.8,1075.0,1981.2,False.,,177.8,,66.0,Shale-Sand,0.176,3.09,67.07
610.5,529.0,435.0,True.,35.7,139.7,20.8,30.0,Shale,0.027,1.94,0.44
609.7,634.0,705.0,True.,81.1,114.3,,,Shale-Sand,0.125,0.98,14.83
612.8,617.0,498.0,True.,,177.8,34.2,21.0,Shale-Sand,0.215,26.7,221.07
628.2,308.0,735.0,False.,,139.7,,28.0,Shale-Sand,0.161,14.82,72.31
151.9,776.0,2065.0,True.,35.7,114.3,17.3,58.0,Shale-Sand,0.136,0.66,15.27
631.8,468.0,691.0,False.,,177.8,,24.0,Shale-Sand,0.169,5.39,48.7
389.2,384.0,3710.0,True.,60.2,139.7,34.2,,Shale,0.045,0.49,0.74
452.0,340.0,2034.0,False.,,177.8,,55.0,Shale-Sand,0.187,4.19,97.73
310.0,368.0,2266.0,False.,53.6,139.7,25.3,63.0,Shale-Sand,0.162,2.96,19.07
627.6,475.0,652.0,True.,,177.8,,25.0,Shale-Sand,0.249,7.86,221.91
609.6,580.0,400.0,True.,48.1,177.8,34.2,24.0,Shale-Sand,0.231,9.86,182.11
532.4,102.0,881.2,False.,,114.3,,29.0,Shale,0.0,0.06,0.21
529.3,142.0,1015.0,True.,35.7,139.7,20.8,31.0,Shale-Sand,0.182,6.91,241.36
99.5,1076.0,1920.0,True.,,,,76.0,Shale-Sand,0.085,0.81,1.26
526.2,102.0,947.9,True.,,114.3,,33.0,Shale-Sand,0.27,10.49,225.91
597.2,594.0,553.0,True.,53.6,177.8,34.3,20.0,Shale-Sand,0.151,1.84,58.24
353.3,475.0,1698.0,False.,,139.7,,52.0,Shale-Sand,0.078,0.42,2.76
573.3,608.0,643.0,True.,48.1,177.8,29.8,10.0,Shale-Sand,0.144,4.19,48.08
585.6,616.0,692.0,True.,53.6,177.8,34.2,25.0,Shale-Sand,0.086,1.84,13.33
133.0,757.0,2430.0,False.,35.7,139.7,25.3,,Shale-Sand,0.149,1.92,10.27
551.6,149.0,1091.0,True.,35.7,139.7,20.8,27.0,Shale-Sand,0.229,6.19,87.28
399.0,496.0,1370.0,False.,25.3,114.3,14.1,41.0,Shale-Sand,0.18,2.89,48.19
250.7,462.0,1852.0,False.,53.6,177.8,38.7,48.0,Shale-Sand,0.194,3.33,82.97
593.7,596.0,390.0,True.,53.6,177.8,34.2,25.0,Shale-Sand,0.253,1.67,119.08
635.9,480.0,636.8,False.,,177.8,,26.0,Shale-Sand,0.005,0.37,3.84
338.6,720.0,1790.0,False.,53.6,139.7,23.1,52.0,Shale-Sand,0.214,10.81,63.82
553.0,443.0,770.0,True.,35.7,139.7,20.8,28.0,Sand,0.361,14.04,309.19
614.2,531.0,516.0,False.,48.1,177.8,29.8,26.0,Shale,0.056,0.51,0.68
520.3,120.0,995.0,False.,,139.7,,34.0,Shale-Sand,0.0,0.8,3.69
359.4,363.0,1930.0,True.,,114.3,,66.0,Sand,0.274,25.19,425.85
615.7,620.0,544.0,True.,,177.8,34.2,21.0,Shale-Sand,0.181,4.8,27.62
69.2,723.0,2107.0,False.,48.1,139.7,23.1,67.0,Shale-Sand,0.153,1.35,29.37
344.3,713.0,1689.2,True.,,139.7,,56.0,Shale-Sand,0.203,3.58,145.27
481.9,131.0,1592.0,True.,53.6,,,,Shale-Sand,0.074,1.53,8.0
105.7,1078.0,2788.0,True.,17.3,,,,Shale-Sand,0.137,7.92,37.93
609.0,529.0,696.0,True.,20.8,,,25.0,Shale-Sand,0.199,4.14,88.22
273.9,833.0,1585.0,False.,,139.7,,36.0,Shale-Sand,0.093,1.79,19.07
341.1,309.0,2693.8,True.,,114.3,,69.0,Shale-Sand,0.062,0.96,4.15
589.6,454.0,728.0,True.,48.1,177.8,29.8,26.0,Sand,0.282,17.69,569.94
399.2,481.0,1631.0,False.,,177.8,,,Shale-Sand,0.06,3.36,6.53
232.6,457.0,2182.0,False.,53.6,139.7,25.3,56.0,Shale-Sand,0.105,1.65,19.02
613.6,458.0,873.0,True.,35.7,139.7,20.8,,Shale-Sand,0.186,1.71,25.66
538.1,237.0,1057.7,False.,60.3,177.8,29.8,30.0,Shale-Sand,0.094,1.29,12.67
256.3,610.0,1710.0,False.,41.6,139.7,23.1,55.0,Shale-Sand,0.113,0.85,19.59
492.5,100.0,1062.0,True.,,114.3,,30.0,Sand,0.303,7.03,317.66
555.3,441.0,764.0,True.,35.7,139.7,20.8,28.0,Shale-Sand,0.106,1.52,25.64
409.9,363.0,1447.8,False.,,177.8,,41.0,Shale-Sand,0.1,1.37,2.35
616.2,589.0,412.0,True.,48.1,177.8,29.8,25.0,Shale-Sand,0.061,0.86,7.82
318.0,471.0,1358.2,True.,,139.7,,49.0,Shale-Sand,0.114,2.66,38.38
36.4,840.0,1312.0,False.,35.7,139.7,20.8,42.0,Shale-Sand,0.21,3.8,58.86
615.2,325.0,732.0,False.,25.3,114.3,14.1,,Shale-Sand,0.26,7.48,68.75
611.4,621.0,551.0,True.,,177.8,34.2,25.0,Shale-Sand,0.174,8.93,60.08
567.6,606.0,545.0,True.,53.6,177.8,34.2,22.0,Shale-Sand,0.052,1.57,5.53
220.1,603.0,1936.0,True.,35.7,139.7,23.1,63.0,Shale-Sand,0.183,6.18,131.85
279.8,486.0,1715.1,False.,,114.3,,76.0,Shale-Sand,0.148,4.2,47.14
136.5,622.0,3753.5,True.,,,,109.0,Shale-Sand,0.173,4.39,59.46
533.8,178.0,1018.0,True.,,139.7,,31.0,Shale-Sand,0.258,14.49,157.2
604.1,583.0,636.0,True.,48.1,177.8,29.8,25.0,Shale-Sand,0.143,2.65,8.75
533.9,390.0,925.4,False.,,139.7,,26.0,Shale-Sand,0.092,0.87,4.45
598.0,523.0,615.0,False.,48.7,177.8,34.2,22.0,Shale,0.018,0.65,0.41
306.5,455.0,1539.2,False.,,139.7,,,Shale-Sand,0.038,1.56,2.83
491.3,77.0,1050.0,False.,35.7,139.7,20.8,32.0,Shale-Sand,0.074,0.69,9.95
541.0,371.0,845.8,False.,,114.3,,36.0,Shale-Sand,0.107,0.41,2.3
599.1,593.0,539.0,True.,34.2,177.8,53.3,22.0,Shale-Sand,0.143,2.04,28.3
570.4,205.0,1337.0,True.,48.1,,,,Shale-Sand,0.046,1.98,23.39
632.9,526.0,774.0,True.,53.6,117.8,34.2,15.0,Shale-Sand,0.247,6.07,114.83
308.0,789.0,1731.9,False.,,114.3,,48.0,Shale-Sand,0.142,10.55,78.8
